0.015552214671717267 + 0.0039459918156986139i,0.020536760454177995 + 0.0053767512071837657i,0.023644285035600562 + 0.0062965371621558179i,0.024403902041402099 + 0.0066046337262173731i,0.022740165567228368 + 0.0062169339456712765i,0.018965860753449543 + 0.0051008906713262041i,0.013363774857004922 + 0.0036192586951775095i,0.0065417123826649768 + 0.00156530876958071i,-0.0011450121219388858 - 0.00031408986601994123i,-0.0085778562238630618 - 0.0020397502804170679i,-0.015374482041032946 - 0.0029745390571665363i,-0.020850407602428633 + 0.0022392153953163961i,-0.020420180504316682 - 0.012962083306976811i,-0.022788760420722368 - 0.010394529819718924i,-0.021708491552741314 - 0.008972321191761428i,-0.018291624320640052 - 0.0072275840458497134i,-0.01305112737575591 - 0.0050076280037928533i,-0.0065321657054694462 - 0.0025433684290405243i,0.00078667428195131007 + 0.00036214526607164467i,0.0079284993699041059 + 0.0031794325662487977i,0.014279786999529934 + 0.0055739208953106646i,0.019096991713971567 + 0.0074535849397408564i,0.022098763992932136 + 0.0085546013798488297i,0.02290383637174264 + 0.0088105465027115241i,0.021497017997092634 + 0.0083305631295703154i,0.018003960894534116 + 0.0070912614702753479i,0.012809446505635421 + 0.0049820324944987449i,0.0061296225387868454 + 0.0023306054376312627i,-0.0011324012239286839 - 0.00054428481096867537i,-0.0083590866099139908 - 0.0033553150155744738i,-0.014644398350033673 - 0.0057831341255029532i,-0.019493569688461762 - 0.0077008370748766885i,-0.022476347565924988 - 0.0087180904642006965i,-0.023127768536719145 - 0.0089639598253162013i,-0.021397315398096313 - 0.0086067853712319346i,-0.017642469384957251 - 0.007361460942225161i,-0.012334982489938967 - 0.0053685048599378055i,-0.0056488032660133112 - 0.0028114156741136831i,0.0014478356176212425 + 0.00027478475298870793i,0.0084915130646922403 + 0.0033360447445972825i,0.014511095529423109 + 0.0061991787295689301i,0.019170007133889905 + 0.0085399636103046673i,0.021963091784754835 + 0.010144017816062044i,0.022760950516754808 + 0.010620753441596251i,0.021205229266728274 + 0.010063492333764251i,0.01769713984519871 + 0.0083811471381476169i,0.012462765228652063 + 0.0057503817906092054i,0.0060266798500020662 + 0.0024967443098880514i,-0.0011352803574375056 - 0.00086089188226414805i,-0.0079934982160015985 - 0.0042403984131806453i,-0.014044601015707432 - 0.0072158981933751771i,-0.01870998466276615 - 0.0094819218526434185i,-0.021515274362380314 - 0.010935290561078868i,-0.022190979103736172 - 0.011347140492650723i,-0.020741736593227339 - 0.01064460702350134i,-0.017258993904917332 - 0.008717225401791406i,-0.012120157150987014 - 0.0061758159961826237i,-0.0056700308000667346 - 0.0028462737861573916i,0.0013423756965364171 + 0.00085657188430921774i,0.0078340797372837452 + 0.0047304851052183544i,0.013506462529726057 + 0.0083774510556873898i,0.017468299518346983 + 0.011640524328340106i,0.024040985055456526 + 0.0005926327747388712i,0.022820829783054764 + 0.0098434434783932767i,0.020739991577586811 + 0.010075276862076873i,0.017159964238751473 + 0.0085969029728015945i,0.012136863567664594 + 0.0058766615690183229i,0.0058606744159202173 + 0.002566984314833229i,-0.00098977678257455197 - 0.000857473544524026i,-0.0078540611187296605 - 0.0044203778833504237i,-0.013747314905057314 - 0.0075762878329019906i,-0.0182405057301771 - 0.010149140945410876i,-0.021108098305681139 - 0.011843789574869985i,-0.021734367818972821 - 0.012353317985304351i,-0.020254805605175567 - 0.011579479958361566i,-0.016949964153916638 - 0.009759167346908338i,-0.011881525016436113 - 0.0068668536587847533i,-0.0056068764066260525 - 0.0034559443650219891i,0.0013221737241504207 + 0.00041314941072999214i,0.0078110373280838473 + 0.0042344394849826456i,0.013421422974523442 + 0.0076752027880762691i,0.017800432620820376 + 0.010532327043440393i,0.020340646613086481 + 0.012371504062838727i,0.020851514154934584 + 0.013039242995798273i,0.019446986546367395 + 0.012360193634226083i,0.016070606148000665 + 0.01049148079148029i,0.011278933029552267 + 0.0073031182541423061i,0.0052515966953443271 + 0.0033465664347269199i,-0.00119901988966594 - 0.0009069693408261931i,-0.0074582759268827939 - 0.0050998596023938718i,-0.012914815447859716 - 0.0088454299776300517i,-0.017101122087520071 - 0.011670639958800345i,-0.019646510509712795 - 0.013376587929072191i,-0.020332864405065917 - 0.013760193233769978i,-0.019083091640290973 - 0.012896387204659559i,-0.015834873317575725 - 0.010735124792247757i,-0.011021301761013668 - 0.0075528817737041736i,-0.0052171166928806356 - 0.0034595904523981955i,0.001145844919012528 + 0.0010908715712020737i,0.0073527907784215214 + 0.0055872113372800632i
0.00054012873773576664 - 0.00021205457232824354i,0.00058214559848792085 - 0.00010707669545215035i,0.0006639583345603076 - 0.00011951288189391819i,0.00063335698210252372 - 0.00022799800118457832i,0.00056327227175412557 - 0.00022203353822575553i,0.00048640146411874704 - 0.00018211095251586846i,0.00028662398652208967 - 0.0001197257119794455i,0.00023733531890218887 + 7.9995357609887702E-05i,-1.2542632019187355E-05 + 0.00020175954152855201i,-7.9608396962753075E-05 + 0.00024521813271030055i,-0.00017498305532033165 + 0.00031308215310837635i,-0.00047371330620216747 + 0.00022250101475046203i,-0.00051649351064113162 + 0.00032196106864696729i,-0.00054624936918080632 + 0.00029420477842361919i,-0.00066385695650175833 + 0.00015238096788749127i,-0.0005325918267889483 + 6.3581150775788989E-05i,-0.00054897665655634202 + 3.8199120533706651E-06i,-0.00037670745628468896 - 0.00015610730613029757i,-0.00020544227311907203 - 0.00026753876869121561i,-7.7565555755638348E-05 - 0.00030094710382165882i,0.0001296243846026832 - 0.00033559701871699852i,0.00023986809883932284 - 0.00032781399323147508i,0.00027202230152329263 - 0.00024639488981971372i,0.00043125607101713974 - 0.0002713447556876511i,0.00037064102480140871 - 0.00022282372163222257i,0.00029029123893282353 - 0.00022986741206012108i,0.00026068696624943522 - 0.0001567323298184432i,0.00011790420366128453 - 8.9617709608832665E-05i,-5.8398434048571071E-05 + 2.9605394967527023E-05i,-8.12458040260561E-05 + 0.00021127408287337132i,-0.00028242274815831682 + 0.00023058651206173925i,-0.00034873761600293378 + 0.00026975650815953437i,-0.00040259647473731588 + 0.00022341556254654074i,-0.00046438908434306194 + 0.0002928032776139505i,-0.00041888250642534847 + 0.00013836369065843907i,-0.00028731376051226333 + 0.00011744159542517034i,-0.0002376497998980437 - 3.6998540096688687E-05i,-0.00022370371681297615 - 0.00018676591101058848i,2.5509061699505398E-05 - 0.00018914383074360215i,0.00020279125159946502 - 0.0001788947349169494i,0.00040368737847973086 - 0.00015356583065230639i,0.00056166051748406294 - 8.2346858667440496E-05i,0.00061401971298388313 + 4.6086901339634581E-05i,0.00077959488192044779 + 7.98183164805282E-05i,0.00068922691571260517 + 0.00021354844363264108i,0.00054916193114024449 + 0.00029865141850280157i,0.00053403760156682609 + 0.00028634614936599314i,0.00019459365074734019 + 0.00021965548557017705i,2.2363941269897545E-05 + 0.00017855470148724802i,-0.00018572797693199841 + 0.00023648661696434509i,-0.00030463940893348657 + 0.00011629490026577893i,-0.00045008248490222789 + 9.3914551970190186E-05i,-0.00050597158602195776 + 6.3908919463262444E-05i,-0.00060173728502982437 + 0.00011334478996808647i,-0.00053712257009566535 + 0.0002120548800590805i,-0.00049060292560877076 + 0.00020695412177174267i,-0.00025400562175518718 + 0.00021666090625642245i,-7.9966244506787158E-05 + 0.00022810964289109121i,0.00014374348848099025 + 0.00015819482078023152i,0.00033543899248887193 + 7.5833463717745901E-05i,0.00029719730270923552 - 0.0001032718665827645i,0.00025445942583741997 - 0.00022170275423289538i,0.0004359037773298181 + 3.9752214312115114E-05i,0.00044548904843138247 - 0.00037716055274985324i,0.00039658585465401875 - 0.00035677554875170845i,0.00027093657960649647 - 0.00032693588909105841i,6.2162709824866439E-05 - 0.00027482413783695811i,-0.00012641297739262309 - 0.00026487572345016243i,-0.00015488308118491705 - 8.9272424504219748E-05i,-0.00024466409794322836 - 0.0001345269455628633i,-0.00054890971098799307 + 3.8471951766251523E-06i,-0.00062326024001544984 - 9.290478428902087E-06i,-0.00072163294702356519 - 0.00016896534463951601i,-0.00067840211467847216 - 0.00027978067696467847i,-0.00064974916070962543 - 0.0002815620152684438i,-0.0005689004619906596 - 0.00026944798901663587i,-0.00034513973608736484 - 2.5718234136038641E-05i,-8.0889928034406474E-05 + 7.0053908816915172E-05i,9.2255482824806791E-05 + 0.00015071753114820504i,0.00032969137020562127 + 0.0001459343884569185i,0.00043197970356661781 + 5.3827000109016201E-05i,0.00045003930974512333 - 3.5374163344481269E-05i,0.00056087308676432634 - 4.7602213681357598E-05i,0.00060028403211907636 - 7.9000586420317114E-05i,0.00061775081259186383 - 5.1037547140497764E-05i,0.00050511942522637283 - 8.2462365247893126E-06i,0.00040977237162320896 + 0.0001066650187071267i,0.00014669633818563608 + 0.00011255560805036731i,-1.3204449647535844E-05 + 0.00021320476748357595i,-7.5397257488816005E-05 + 0.00023212963645406745i,-0.00024057548046530318 + 0.00019580285585639448i,-0.00039221138066318939 + 0.00019174461293930504i,-0.00042533715486623379 + 0.00023576587816646595i,-0.00046981262671481184 + 0.000225798064972728i,-0.00042507856571017961 + 0.00015882570241161504i,-0.00028038880325377861 + 7.7733615715518185E-05i,-0.00019841953598443332 + 2.8147828436783583E-05i,-9.1069415749079984E-06 - 0.00011067124384699724i,0.00016274088316242517 - 6.3906562517882556E-05i,0.00034549377946237745 - 6.071644159843991E-05i
-0.00085376633156767083 - 0.0045071473694467453i,-0.0012537171589853888 - 0.0060793030425930657i,-0.0013454442408508472 - 0.0070017189829053809i,-0.0014635586069025579 - 0.0073751717140022313i,-0.0014020459367732193 - 0.0068428210483650739i,-0.0011973355289635087 - 0.0057976803641981624i,-0.00084811631776829941 - 0.0039765381106274611i,-0.00039391822787970376 - 0.0019292014692022471i,7.9619175821168901E-05 + 0.00037510185831020424i,0.00055708202572341068 + 0.002650864424120701i,0.00090507655457248873 + 0.0045712881653751413i,0.001132846954447708 + 0.0061411944035804807i,0.0011296706533025338 + 0.0070576528410837471i,0.0012508272175159162 + 0.0072325348476255484i,0.0011739861066191468 + 0.0068206732007425165i,0.0009424738472374938 + 0.005649794801478693i,0.0006162900895720822 + 0.0039679876285518764i,9.38298382564943E-05 + 0.0017678408648172958i,-0.00021172372807574003 - 0.00053302726676749865i,-0.00057435977629471263 - 0.0027219094902299775i,-0.0008598773786336457 - 0.0047184951762007741i,-0.001064283608560301 - 0.0062294176291903718i,-0.0011218439680552427 - 0.007170013695800447i,-0.0010983289852486209 - 0.0073584322258874006i,-0.0010086836940518926 - 0.0069133623458823568i,-0.00085507826039113617 - 0.005490152163852507i,-0.00066116004405878618 - 0.0039270925435782467i,-0.00042586417441909817 - 0.0019142061000376001i,-0.00012366504876385904 + 0.00046771824625354804i,0.00021329496798565706 + 0.0024584356654128075i,0.00045440151191518331 + 0.0045806039202085057i,0.00062303416483777121 + 0.0061399776015643968i,0.0008798266614491782 + 0.0072138396761924567i,0.00092380055066683571 + 0.0075504775885782607i,0.00080561105419385028 + 0.0070482337236946425i,0.00067215748234919124 + 0.0058103014377834557i,0.00042738724663525691 + 0.0040506111420665954i,0.00019878965263238693 + 0.0019503371265748018i,-4.8576166859321814E-05 - 0.00043974790524624015i,-0.00028619562833420644 - 0.0027787945589798431i,-0.00034656217613029516 - 0.004735670483462461i,-0.00043863331938657308 - 0.0063477288820933449i,-0.00075853107671247687 - 0.0073059738529268363i,-0.00072990411533253516 - 0.0075173557338171926i,-0.00058904621968800452 - 0.0069709024579703563i,-0.00036240174281649325 - 0.0056950909398888116i,-0.00025193578640258195 - 0.0040463266496237067i,-0.00011113455467003412 - 0.0018693609463493197i,4.3427787877931668E-05 + 0.00040788926424192493i,0.00017758656329555601 + 0.0026770761946624758i,0.00035813215695746671 + 0.0047376397755102646i,0.00035943547371168009 + 0.0063088366661800226i,0.00045647190530181394 + 0.0073209415558808319i,0.00057909537607248778 + 0.0076914176513863544i,0.00060606786374626251 + 0.0071266669881349864i,0.00060009349257428247 + 0.0059375362257313904i,0.00065723332968058742 + 0.0043613599955471356i,0.0005481233172723492 + 0.0022967338085297059i,0.00027595028901527245 - 7.2129144718790906E-05i,6.5746995178963749E-06 - 0.0022935010560178873i,-0.00048326279326290603 - 0.0043486445881910545i,-0.00222389711005625 - 0.0055824022626015449i,0.0053178769449407325 - 0.0046850537043093736i,0.0014337119823646419 - 0.0073631235597690792i,0.00063414315040943078 - 0.0071557151720231197i,0.0001861163752064428 - 0.0060871622062239686i,-6.9988479476547219E-05 - 0.0044812579562504336i,-0.00021824839328251017 - 0.0023925871320755483i,-0.00022707001234739937 - 2.3086035108776741E-05i,-0.00032768566712926544 + 0.0022891733711630771i,-0.00045388350800847511 + 0.0044466988173246817i,-0.00047576266829178412 + 0.0060331949826824098i,-0.00045140256500373699 + 0.006884503077337548i,-0.00051135116599988631 + 0.0071669522362595335i,-0.00040597564791482015 + 0.0067835572669590095i,-0.0002711256907833642 + 0.0057366058856439649i,-0.0002386662934896575 + 0.0041589769218950221i,-9.0368992208979433E-05 + 0.0020845430706205922i,1.0127534424148686E-05 - 0.00026607379859987517i,0.00014087954581497352 - 0.0026073727245241765i,0.0002646883461175629 - 0.0046620412840913915i,0.00026474621131218666 - 0.0062066352236180827i,0.00038795092472807425 - 0.0072339690543152483i,0.00047653454294424883 - 0.007405765313315567i,0.0004772413146749933 - 0.0069715116390248683i,0.00043539967148193684 - 0.0059132583209629353i,0.00023697619959328468 - 0.0042194867465877714i,8.4853666672025929E-06 - 0.0020402939625954689i,-0.00011185937126345208 + 0.00026963080069171809i,-0.00025009887582387548 + 0.0025195025181468794i,-0.00040123982123849828 + 0.0046146579978708219i,-0.00045154242861058201 + 0.0062748771274355828i,-0.00050950112878519766 + 0.0073811707358124364i,-0.0004167647880991051 + 0.0075909711406353811i,-0.00044917171286596889 + 0.0071235410221508503i,-0.00031006078776576887 + 0.005931768474451489i,-0.00022579142758734566 + 0.00414309383038687i,-5.7558724835901349E-05 + 0.002034463720920727i,0.00015016320231530977 - 0.00020562315505754958i,0.00046721391623547146 - 0.0025255655765268554i
0.010243396885677089 - 0.0045699755624776656i,0.013444195703492368 - 0.0062151694021075066i,0.015393864480844788 - 0.0072600730286456333i,0.015931427394562686 - 0.0074399188478365685i,0.014863472588249188 - 0.0069719419456825268i,0.012319392963876852 - 0.0057186056874105468i,0.0086861205887214799 - 0.0039540766376849473i,0.0041664102399186914 - 0.0018781109966219192i,-0.00068185387831018462 + 0.00037941567244219489i,-0.0054573237015431431 + 0.0027043432217280783i,-0.0096610335980866491 + 0.0048430986322457736i,-0.012925173166386195 + 0.0065068623716131799i,-0.015098060916054062 + 0.0075463763561036956i,-0.0155989017503112 + 0.0078947443908837789i,-0.014522424022414909 + 0.0075317192399768501i,-0.012159179423913868 + 0.0063779421411456899i,-0.008641566598112882 + 0.0045377213965195062i,-0.0041837472148733706 + 0.002240176485385513i,0.00062150497951363182 - 0.00029915616583611054i,0.0052888772630132145 - 0.0028844369206929661i,0.0094198009447915704 - 0.0054080555195037128i,0.012457510146071465 - 0.0073388305174320045i,0.01436236228360073 - 0.0083920977719093987i,0.014904985966767065 - 0.0086826914862158239i,0.013919962653020257 - 0.0080523579578195975i,0.011668835572705732 - 0.0066057978110603266i,0.00826519396179691 - 0.0043777439916555111i,0.0038693002308476943 - 0.0018042480402287661i,-0.00075211532604432113 + 0.00091235246161566752i,-0.0055014285494732716 + 0.0036119203357571628i,-0.0095676583303122356 + 0.0059729626754079015i,-0.01260027449304528 + 0.0076636779565867827i,-0.014329468723624866 + 0.0086022462078784862i,-0.014766042777554861 + 0.0088153559910026935i,-0.01370526761852961 + 0.0082259269338456342i,-0.011344958740386019 + 0.0068717444658434879i,-0.0079486380287165093 + 0.0049761912276173048i,-0.003689681534338532 + 0.0025224668486724874i,0.00085442166310854828 - 0.00035628557786953306i,0.0053514984637896904 - 0.0034237124867442584i,0.0092979634359405608 - 0.0060648965228704554i,0.012286765617652656 - 0.0083012037565429186i,0.014076214844374851 - 0.0095417410254440282i,0.014461063306189348 - 0.0098663148973490988i,0.013644255207290096 - 0.0092246627857091729i,0.01132868604740353 - 0.0076696640389333631i,0.0080155158052846731 - 0.0053522248576053366i,0.0038371451045995791 - 0.0024605523123719664i,-0.00062954179518864145 + 0.00041193942810952011i,-0.0051188529346795171 + 0.0036214581243006762i,-0.0090209398753938949 + 0.0062368878036524536i,-0.011884751560255674 + 0.0084071145625669516i,-0.013743342193017566 + 0.0096965266389964638i,-0.014216343292768052 + 0.0098975843280587339i,-0.013245215151710704 + 0.0093408583566511744i,-0.011006357302419639 + 0.0076939466402400486i,-0.0076618269160264596 + 0.0052266793568892661i,-0.0036045654489653273 + 0.0023275464478912308i,0.00082869208852374976 - 0.00071916240214005278i,0.004983785106250368 - 0.0040673954855107008i,0.0086109328743399008 - 0.0067714001977970742i,0.011393998975336272 - 0.0088472853344637031i,0.013256013242146064 - 0.01014483078144171i,0.013857574500069386 - 0.01040592954002173i,0.013030142405242529 - 0.0096235549172213608i,0.010953279995255999 - 0.0079272391776647882i,0.007568224907783333 - 0.0053355960000140146i,0.0036203449962022155 - 0.0023201392607292912i,-0.00075126171050873488 + 0.00089996074690833205i,-0.0050704096060290391 + 0.0039843771475643643i,-0.0087913798708256705 + 0.0069373154748227639i,-0.011610256012772366 + 0.0091903360880664364i,-0.013293079963279997 + 0.010782102787427153i,-0.0136998961972708 + 0.011324442750354879i,-0.012877838339761721 + 0.010671400477251014i,-0.010719059369374367 + 0.0089423643732557956i,-0.0075344055935576137 + 0.0061518249296237809i,-0.0035807870152810423 + 0.0028839179210830845i,0.00073725425872223083 - 0.00059428242363483014i,0.0048446121546673552 - 0.0039965269433138995i,0.0084997203453648779 - 0.0069918084678997766i,0.011078600897276261 - 0.0093386670929020837i,0.012740930731974465 - 0.010925299856044485i,0.013123278832922164 - 0.011390920337582683i,0.012359787055869903 - 0.010766607552861213i,0.01033020712296831 - 0.009026942607756161i,0.007240805485283261 - 0.0064420176371259436i,0.0034513187050995847 - 0.0029948922409712003i,-0.00064097948088020357 + 0.00061255224312123727i,-0.0046523255472082012 + 0.004076292452766396i,-0.0080330671105105569 + 0.0072992999348564791i,-0.010730791036120763 + 0.0097335527213138068i,-0.012200992505186067 + 0.011304117181661716i,-0.01262631805415719 + 0.011596758469733182i,-0.011816369855540659 + 0.010879703976330438i,-0.009830561182395392 + 0.0089755713606990695i,-0.0068003235908752208 + 0.0063303774182731226i,-0.0031532959493847795 + 0.0029118926624210548i,0.00076065958565937203 - 0.00079456892749246374i,0.0046562797924370007 - 0.0045467949497037252i
-0.00085376633156767083 + 0.0045071473694467453i,-0.0012537171589853888 + 0.0060793030425930657i,-0.0013454442408508472 + 0.0070017189829053809i,-0.0014635586069025579 + 0.0073751717140022313i,-0.0014020459367732193 + 0.0068428210483650739i,-0.0011973355289635087 + 0.0057976803641981624i,-0.00084811631776829941 + 0.0039765381106274611i,-0.00039391822787970376 + 0.0019292014692022471i,7.9619175821168901E-05 - 0.00037510185831020424i,0.00055708202572341068 - 0.002650864424120701i,0.00090507655457248873 - 0.0045712881653751413i,0.001132846954447708 - 0.0061411944035804807i,0.0011296706533025338 - 0.0070576528410837471i,0.0012508272175159162 - 0.0072325348476255484i,0.0011739861066191468 - 0.0068206732007425165i,0.0009424738472374938 - 0.005649794801478693i,0.0006162900895720822 - 0.0039679876285518764i,9.38298382564943E-05 - 0.0017678408648172958i,-0.00021172372807574003 + 0.00053302726676749865i,-0.00057435977629471263 + 0.0027219094902299775i,-0.0008598773786336457 + 0.0047184951762007741i,-0.001064283608560301 + 0.0062294176291903718i,-0.0011218439680552427 + 0.007170013695800447i,-0.0010983289852486209 + 0.0073584322258874006i,-0.0010086836940518926 + 0.0069133623458823568i,-0.00085507826039113617 + 0.005490152163852507i,-0.00066116004405878618 + 0.0039270925435782467i,-0.00042586417441909817 + 0.0019142061000376001i,-0.00012366504876385904 - 0.00046771824625354804i,0.00021329496798565706 - 0.0024584356654128075i,0.00045440151191518331 - 0.0045806039202085057i,0.00062303416483777121 - 0.0061399776015643968i,0.0008798266614491782 - 0.0072138396761924567i,0.00092380055066683571 - 0.0075504775885782607i,0.00080561105419385028 - 0.0070482337236946425i,0.00067215748234919124 - 0.0058103014377834557i,0.00042738724663525691 - 0.0040506111420665954i,0.00019878965263238693 - 0.0019503371265748018i,-4.8576166859321814E-05 + 0.00043974790524624015i,-0.00028619562833420644 + 0.0027787945589798431i,-0.00034656217613029516 + 0.004735670483462461i,-0.00043863331938657308 + 0.0063477288820933449i,-0.00075853107671247687 + 0.0073059738529268363i,-0.00072990411533253516 + 0.0075173557338171926i,-0.00058904621968800452 + 0.0069709024579703563i,-0.00036240174281649325 + 0.0056950909398888116i,-0.00025193578640258195 + 0.0040463266496237067i,-0.00011113455467003412 + 0.0018693609463493197i,4.3427787877931668E-05 - 0.00040788926424192493i,0.00017758656329555601 - 0.0026770761946624758i,0.00035813215695746671 - 0.0047376397755102646i,0.00035943547371168009 - 0.0063088366661800226i,0.00045647190530181394 - 0.0073209415558808319i,0.00057909537607248778 - 0.0076914176513863544i,0.00060606786374626251 - 0.0071266669881349864i,0.00060009349257428247 - 0.0059375362257313904i,0.00065723332968058742 - 0.0043613599955471356i,0.0005481233172723492 - 0.0022967338085297059i,0.00027595028901527245 + 7.2129144718790906E-05i,6.5746995178963749E-06 + 0.0022935010560178873i,-0.00048326279326290603 + 0.0043486445881910545i,-0.00222389711005625 + 0.0055824022626015449i,0.0053178769449407325 + 0.0046850537043093736i,0.0014337119823646419 + 0.0073631235597690792i,0.00063414315040943078 + 0.0071557151720231197i,0.0001861163752064428 + 0.0060871622062239686i,-6.9988479476547219E-05 + 0.0044812579562504336i,-0.00021824839328251017 + 0.0023925871320755483i,-0.00022707001234739937 + 2.3086035108776741E-05i,-0.00032768566712926544 - 0.0022891733711630771i,-0.00045388350800847511 - 0.0044466988173246817i,-0.00047576266829178412 - 0.0060331949826824098i,-0.00045140256500373699 - 0.006884503077337548i,-0.00051135116599988631 - 0.0071669522362595335i,-0.00040597564791482015 - 0.0067835572669590095i,-0.0002711256907833642 - 0.0057366058856439649i,-0.0002386662934896575 - 0.0041589769218950221i,-9.0368992208979433E-05 - 0.0020845430706205922i,1.0127534424148686E-05 + 0.00026607379859987517i,0.00014087954581497352 + 0.0026073727245241765i,0.0002646883461175629 + 0.0046620412840913915i,0.00026474621131218666 + 0.0062066352236180827i,0.00038795092472807425 + 0.0072339690543152483i,0.00047653454294424883 + 0.007405765313315567i,0.0004772413146749933 + 0.0069715116390248683i,0.00043539967148193684 + 0.0059132583209629353i,0.00023697619959328468 + 0.0042194867465877714i,8.4853666672025929E-06 + 0.0020402939625954689i,-0.00011185937126345208 - 0.00026963080069171809i,-0.00025009887582387548 - 0.0025195025181468794i,-0.00040123982123849828 - 0.0046146579978708219i,-0.00045154242861058201 - 0.0062748771274355828i,-0.00050950112878519766 - 0.0073811707358124364i,-0.0004167647880991051 - 0.0075909711406353811i,-0.00044917171286596889 - 0.0071235410221508503i,-0.00031006078776576887 - 0.005931768474451489i,-0.00022579142758734566 - 0.00414309383038687i,-5.7558724835901349E-05 - 0.002034463720920727i,0.00015016320231530977 + 0.00020562315505754958i,0.00046721391623547146 + 0.0025255655765268554i
